,date,rank,song,artist,last-week,peak-rank,weeks-on-board,genre
584,1958-09-08,85,I'll Make It All Up To You,Jerry Lee Lewis And His Pumping Piano,,85,1,[]
587,1958-09-08,88,Firefly,Tony Bennett,,88,1,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
591,1958-09-08,92,Invitation To The Blues,Ray Price,,92,1,"['country', 'honky tonk', 'nashville sound', 'traditional country']"
592,1958-09-08,93,Guess I've Been Around Too Long,Carl Smith,,93,1,['honky tonk']
593,1958-09-08,94,Yes I Want You,Ivory Joe Hunter,,94,1,"['jazz blues', 'piano blues', 'rhythm and blues']"
594,1958-09-08,95,The Ballad Of Thunder Road,Robert Mitchum,,95,1,['lounge']
595,1958-09-08,96,My Lucky Love,Doug Franklin With The Bluenotes,,96,1,genre not found
658,1958-09-15,59,Ten Commandments Of Love,Harvey & The Moonglows,,59,1,['doo-wop']
660,1958-09-15,61,There Goes My Heart,Joni James,,61,1,"['desi hip hop', 'tamil pop']"
664,1958-09-15,65,It's Only Make Believe,Conway Twitty,,65,1,"['arkansas country', 'country', 'country rock']"
669,1958-09-15,70,The Secret,Gordon MacRae,,70,1,[]
671,1958-09-15,72,Baby Face,Little Richard,,72,1,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly', 'soul']"
672,1958-09-15,73,Break-Up,Jerry Lee Lewis And His Pumping Piano,,73,1,[]
675,1958-09-15,76,Mexican Hat Rock,The Applejacks,,76,1,"['beatlesque', 'british invasion', 'merseybeat']"
683,1958-09-15,84,Big Brown Eyes,The Redjacks,,84,1,genre not found
686,1958-09-15,87,The End,Earl Grant,,87,1,['space age pop']
691,1958-09-15,92,Topsy I,Cozy Cole,,92,1,['lo-fi beats']
697,1958-09-15,98,I Wish,The Platters,,98,1,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']"
753,1958-09-22,54,For My Good Fortune,Pat Boone,,54,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
755,1958-09-22,56,Fibbin',Patti Page,,56,1,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge']"
759,1958-09-22,60,The Day The Rains Came,Jane Morgan,,60,1,['deep adult standards']
768,1958-09-22,69,"Gee, But It's Lonely",Pat Boone,,69,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
773,1958-09-22,74,This Little Girl's Gone Rockin',Ruth Brown,,74,1,"['jazz blues', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']"
775,1958-09-22,76,"Nine More Miles (The ""Faster-Faster"" Song)",Georgie Young,,76,1,[]
776,1958-09-22,77,"Come On, Let's Go",Ritchie Valens,,77,1,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']"
780,1958-09-22,81,Hideaway,The Four Esquires,,81,1,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']"
783,1958-09-22,84,"Wendy, Wendy",The Four Coins,,84,1,"['deep adult standards', 'vocal harmony group']"
784,1958-09-22,85,Real Wild Child,Ivan,,85,1,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
787,1958-09-22,88,"To Know Him, Is To Love Him",The Teddy Bears,,88,1,"['calming instrumental', 'lullaby']"
791,1958-09-22,92,Young School Girl,Fats Domino,,92,1,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly', 'soul']"
792,1958-09-22,93,Nothin' Shakin',Eddie Fontaine,,93,1,['cali rap']
795,1958-09-22,96,We Have Love,Jackie Wilson,,96,1,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
796,1958-09-22,97,You Got That Touch,Sonny James,,97,1,['nashville sound']
797,1958-09-22,98,Many A Time,Steve Lawrence,,98,1,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge']"
858,1958-09-29,59,No One But You (In My Heart),The Ames Brothers,,59,1,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
859,1958-09-29,60,Pussy Cat,The Ames Brothers,,60,1,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
865,1958-09-29,66,Look Who's Blue,Don Gibson,,66,1,"['nashville sound', 'rock-and-roll', 'rockabilly']"
871,1958-09-29,72,When I Grow Too Old To Dream,Ed Townsend,,72,1,[]
873,1958-09-29,74,Call Me,Johnny Mathis,,74,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']"
878,1958-09-29,79,Give Myself A Party,Don Gibson,,79,1,"['nashville sound', 'rock-and-roll', 'rockabilly']"
882,1958-09-29,83,Tom Dooley,The Kingston Trio,,83,1,"['american folk revival', 'folk', 'folk rock']"
886,1958-09-29,87,The Day I Died,The Playmates,,87,1,['novelty']
888,1958-09-29,89,With Your Love,Jack Scott,,89,1,"['brill building pop', 'canadian rockabilly', 'deep adult standards', 'rock-and-roll', 'rockabilly']"
890,1958-09-29,91,Bullwhip Rock,Cyclones,,91,1,['bedroom pop']
891,1958-09-29,92,Tic Toc,Lee Allen And His Band,,92,1,[]
895,1958-09-29,96,Leave Me Alone (Let Me Cry),Dicky Doo And The Don'ts,,96,1,[]
899,1958-09-29,100,Forget Me Not,Kalin Twins,,100,1,"['deep adult standards', 'doo-wop']"
968,1958-10-06,69,Hoopa Hoola,Betty Johnson,,69,1,['neo mellow']
972,1958-10-06,73,The Hula Hoop Song,Georgia Gibbs,,73,1,['deep adult standards']
986,1958-10-06,87,Well I'm Your Man,Johnny Tillotson,,87,1,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'merseybeat', 'nashville sound', 'rock-and-roll', 'rockabilly']"
987,1958-10-06,88,All Over Again,Johnny Cash,,88,1,"['contemporary country', 'country', 'country road']"
989,1958-10-06,90,A Lover's Question,Clyde McPhatter,,90,1,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'swamp pop']"
991,1958-10-06,92,Need You,Donnie Owens,,92,1,[]
992,1958-10-06,93,It's Raining Outside,The Platters,,93,1,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']"
994,1958-10-06,95,Queen Of The Hop,Bobby Darin,,95,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
995,1958-10-06,96,Fried Onions,Lord Rockingham's XI,,96,1,[]
996,1958-10-06,97,The Blob,The Five Blobs,,97,1,[]
997,1958-10-06,98,Just Young,Paul Anka,,98,1,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
1069,1958-10-13,70,I Got A Feeling,Ricky Nelson,,70,1,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']"
1081,1958-10-13,82,What Little Girl,Frankie Avalon,,82,1,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll']"
1084,1958-10-13,85,Guaglione,Perez Prado And His Orchestra,,85,1,"['latin jazz', 'mambo', 'space age pop']"
